id,source,source_table,topic,category,difficulty,frequency,direction,term,question,answer
fsp-stuttgart-011,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Adventitia,Was bedeutet der medizinische Fachbegriff „Adventitia“ in Umgangssprache?,äußere Schicht der Blutgefäßwand
fsp-stuttgart-012,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Adynamie,Was bedeutet der medizinische Fachbegriff „Adynamie“ in Umgangssprache?,Antriebslosigkeit
fsp-stuttgart-013,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Aerobie,Was bedeutet der medizinische Fachbegriff „Aerobie“ in Umgangssprache?,"Leben, das Sauerstoff (O2) benötigt"
fsp-stuttgart-014,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Affekt,Was bedeutet der medizinische Fachbegriff „Affekt“ in Umgangssprache?,"starke, kurz andauernde Gemütsbewegung"
fsp-stuttgart-015,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Agglutination,Was bedeutet der medizinische Fachbegriff „Agglutination“ in Umgangssprache?,Verklumpung
fsp-stuttgart-016,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,aggravieren,Was bedeutet der medizinische Fachbegriff „aggravieren“ in Umgangssprache?,eine Krankheit übertrieben darstellen
fsp-stuttgart-017,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Akkommodation,Was bedeutet der medizinische Fachbegriff „Akkommodation“ in Umgangssprache?,1. Anpassung 2. Scharfeinstellung des Auges
fsp-stuttgart-018,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Akren,Was bedeutet der medizinische Fachbegriff „Akren“ in Umgangssprache?,die äußersten Teile des Körpers
fsp-stuttgart-019,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Akromegalie,Was bedeutet der medizinische Fachbegriff „Akromegalie“ in Umgangssprache?,Vergrößerung der äußersten Körperteile
fsp-stuttgart-020,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Albino,Was bedeutet der medizinische Fachbegriff „Albino“ in Umgangssprache?,Lebewesen mit angeborenem Pigmentmangel
fsp-stuttgart-021,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Alkalose,Was bedeutet der medizinische Fachbegriff „Alkalose“ in Umgangssprache?,Erhöhung des pH-Werts in Blut und Geweben
fsp-stuttgart-022,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Allergen,Was bedeutet der medizinische Fachbegriff „Allergen“ in Umgangssprache?,"Stoff, der eine Allergie hervorrufen kann"
fsp-stuttgart-023,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,4,Fachbegriff → Umgangssprache,Allergie,Was bedeutet der medizinische Fachbegriff „Allergie“ in Umgangssprache?,Krankheit mit starker Überempfindlichkeit auf einen bestimmten Stoff
fsp-stuttgart-024,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,allergisch,Was bedeutet der medizinische Fachbegriff „allergisch“ in Umgangssprache?,krankhaft überempfindlich auf einen bestimmten Stoff
fsp-stuttgart-025,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Alopezie,Was bedeutet der medizinische Fachbegriff „Alopezie“ in Umgangssprache?,Haarausfall
fsp-stuttgart-026,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Altinsulin,Was bedeutet der medizinische Fachbegriff „Altinsulin“ in Umgangssprache?,Insulin ohne verzögernde Zusätze
fsp-stuttgart-027,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Amenorrhö,Was bedeutet der medizinische Fachbegriff „Amenorrhö“ in Umgangssprache?,Ausbleiben der Menstruation
fsp-stuttgart-028,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Amnioskopie,Was bedeutet der medizinische Fachbegriff „Amnioskopie“ in Umgangssprache?,Fruchtwasserspiegelung
fsp-stuttgart-029,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,anaerob,Was bedeutet der medizinische Fachbegriff „anaerob“ in Umgangssprache?,ohne Sauerstoff
fsp-stuttgart-030,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Analgesie,Was bedeutet der medizinische Fachbegriff „Analgesie“ in Umgangssprache?,Schmerzbekämpfung
fsp-stuttgart-031,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Analgetikum,Was bedeutet der medizinische Fachbegriff „Analgetikum“ in Umgangssprache?,Schmerzmittel
fsp-stuttgart-032,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,anamnestisch,Was bedeutet der medizinische Fachbegriff „anamnestisch“ in Umgangssprache?,zur Vorgeschichte des Kranken gehörend
fsp-stuttgart-033,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,anämisch,Was bedeutet der medizinische Fachbegriff „anämisch“ in Umgangssprache?,blutarm
fsp-stuttgart-034,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,4,Fachbegriff → Umgangssprache,Anästhesie,Was bedeutet der medizinische Fachbegriff „Anästhesie“ in Umgangssprache?,Narkose
fsp-stuttgart-035,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Anatomie,Was bedeutet der medizinische Fachbegriff „Anatomie“ in Umgangssprache?,Lehre vom Bau des Körpers
fsp-stuttgart-036,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Androgene (pl.),Was bedeutet der medizinische Fachbegriff „Androgene (pl.)“ in Umgangssprache?,männliche Sexualhormone
fsp-stuttgart-037,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Aneurysma,Was bedeutet der medizinische Fachbegriff „Aneurysma“ in Umgangssprache?,umschriebene Erweiterung einer Schlagader
fsp-stuttgart-038,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Angina Pectoris,Was bedeutet der medizinische Fachbegriff „Angina Pectoris“ in Umgangssprache?,Herzschmerzen infolge einer Durchblutungsstörung der Herzkranzgefäße
fsp-stuttgart-039,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Angulus,Was bedeutet der medizinische Fachbegriff „Angulus“ in Umgangssprache?,Winkel
fsp-stuttgart-040,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Anorexia nervosa,Was bedeutet der medizinische Fachbegriff „Anorexia nervosa“ in Umgangssprache?,Magersucht
fsp-stuttgart-041,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,4,Fachbegriff → Umgangssprache,Antagonist,Was bedeutet der medizinische Fachbegriff „Antagonist“ in Umgangssprache?,"Gegenspieler, gegensätzlich wirkendes Organ oder Medikament"
fsp-stuttgart-042,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,anterior,Was bedeutet der medizinische Fachbegriff „anterior“ in Umgangssprache?,vorderer
fsp-stuttgart-043,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Antiarrhythmika,Was bedeutet der medizinische Fachbegriff „Antiarrhythmika“ in Umgangssprache?,Arzneimittel zur Behandlung von Herzrhythmusstörungen
fsp-stuttgart-044,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Antibiotika,Was bedeutet der medizinische Fachbegriff „Antibiotika“ in Umgangssprache?,Arzneimittel zur Bekämpfung von Bakterien
fsp-stuttgart-045,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Anticholinergikum,Was bedeutet der medizinische Fachbegriff „Anticholinergikum“ in Umgangssprache?,"ein Wirkstoff, der die Wirkung von Acetylcholin unterdrückt"
fsp-stuttgart-046,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Antiemetika,Was bedeutet der medizinische Fachbegriff „Antiemetika“ in Umgangssprache?,Mittel gegen Übelkeit und Brechreiz
fsp-stuttgart-047,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Antiepileptika,Was bedeutet der medizinische Fachbegriff „Antiepileptika“ in Umgangssprache?,Arzneimittel gegen Epilepsie
fsp-stuttgart-048,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Antikonvulsiva,Was bedeutet der medizinische Fachbegriff „Antikonvulsiva“ in Umgangssprache?,Mittel zur Behandlung der verschiedenen Epilepsieformen
fsp-stuttgart-049,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Antikörper,Was bedeutet der medizinische Fachbegriff „Antikörper“ in Umgangssprache?,Abwehrstoffe im Blut gegen artfremde Eiweiße
fsp-stuttgart-050,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Antipyretikum,Was bedeutet der medizinische Fachbegriff „Antipyretikum“ in Umgangssprache?,fiebersenkendes Mittel
fsp-stuttgart-051,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Antiseptika,Was bedeutet der medizinische Fachbegriff „Antiseptika“ in Umgangssprache?,keimtötendes Mittel
fsp-stuttgart-052,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Antiseptikum,Was bedeutet der medizinische Fachbegriff „Antiseptikum“ in Umgangssprache?,keimtötendes Mittel
fsp-stuttgart-053,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Aortenklappeninsuffizienz,Was bedeutet der medizinische Fachbegriff „Aortenklappeninsuffizienz“ in Umgangssprache?,mangelhafte Schluss der Aortenklappe des Herzens
fsp-stuttgart-054,FSP Stuttgart.docx,2,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Apathie,Was bedeutet der medizinische Fachbegriff „Apathie“ in Umgangssprache?,Teilnahmslosigkeit
fsp-stuttgart-055,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,apathogen,Was bedeutet der medizinische Fachbegriff „apathogen“ in Umgangssprache?,nicht krankmachend
fsp-stuttgart-056,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Apgar-Schema,Was bedeutet der medizinische Fachbegriff „Apgar-Schema“ in Umgangssprache?,Schema zur Vitalitätsbeurteilung des Neugeborenen
fsp-stuttgart-057,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Aphasie,Was bedeutet der medizinische Fachbegriff „Aphasie“ in Umgangssprache?,Sprachverlust durch Störung des Sprachzentrums
fsp-stuttgart-058,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Apoplektischer Insult,Was bedeutet der medizinische Fachbegriff „Apoplektischer Insult“ in Umgangssprache?,Schlaganfall
fsp-stuttgart-059,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Appendizitis,Was bedeutet der medizinische Fachbegriff „Appendizitis“ in Umgangssprache?,Wurmfortsatzentzündung
fsp-stuttgart-060,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Arteria pulmonalis,Was bedeutet der medizinische Fachbegriff „Arteria pulmonalis“ in Umgangssprache?,Lungenschlagader
fsp-stuttgart-061,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Aszites,Was bedeutet der medizinische Fachbegriff „Aszites“ in Umgangssprache?,"Bauchödem, Flüssigkeitsansammlung in der freien Bauchhöhle"
fsp-stuttgart-062,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Ataxie,Was bedeutet der medizinische Fachbegriff „Ataxie“ in Umgangssprache?,Störung der Bewegungskoordination
fsp-stuttgart-063,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Atelektase,Was bedeutet der medizinische Fachbegriff „Atelektase“ in Umgangssprache?,"kollabierten Lungenabschnitt, der mit wenig oder keiner Luft gefüllt ist"
fsp-stuttgart-064,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,ätiologisch,Was bedeutet der medizinische Fachbegriff „ätiologisch“ in Umgangssprache?,die Krankheitsursachen betreffend
fsp-stuttgart-065,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Atrophie,Was bedeutet der medizinische Fachbegriff „Atrophie“ in Umgangssprache?,Schwund
fsp-stuttgart-066,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,aurikular,Was bedeutet der medizinische Fachbegriff „aurikular“ in Umgangssprache?,"die Ohren betreffend, zum Ohr gehörig"
fsp-stuttgart-067,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,auskultatorisch,Was bedeutet der medizinische Fachbegriff „auskultatorisch“ in Umgangssprache?,durch Abhorchen
fsp-stuttgart-068,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Bakteriämie,Was bedeutet der medizinische Fachbegriff „Bakteriämie“ in Umgangssprache?,Vorhandensein von Bakterien im Blut
fsp-stuttgart-069,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Bakteriostase,Was bedeutet der medizinische Fachbegriff „Bakteriostase“ in Umgangssprache?,Keimhemmung; Verhinderung des Keimwachstums und der Keimvermehrung ohne Abtötung
fsp-stuttgart-070,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,bakterizid,Was bedeutet der medizinische Fachbegriff „bakterizid“ in Umgangssprache?,bakterientötend
fsp-stuttgart-071,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,bilateral,Was bedeutet der medizinische Fachbegriff „bilateral“ in Umgangssprache?,beidseitig
fsp-stuttgart-072,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Bride,Was bedeutet der medizinische Fachbegriff „Bride“ in Umgangssprache?,Verwachsung
fsp-stuttgart-073,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Bronchiale Asthma,Was bedeutet der medizinische Fachbegriff „Bronchiale Asthma“ in Umgangssprache?,"Atemnoterkrankung, anfallsweise auftretende Atemnot"
fsp-stuttgart-074,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Bursa,Was bedeutet der medizinische Fachbegriff „Bursa“ in Umgangssprache?,Beutel; Schleimbeutel
fsp-stuttgart-075,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,cardiogen,Was bedeutet der medizinische Fachbegriff „cardiogen“ in Umgangssprache?,seine Ursache im Herzen habend
fsp-stuttgart-076,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Cephalgie,Was bedeutet der medizinische Fachbegriff „Cephalgie“ in Umgangssprache?,Kopfschmerz
fsp-stuttgart-077,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,cerebralis,Was bedeutet der medizinische Fachbegriff „cerebralis“ in Umgangssprache?,"zum Großhirn gehörig, cerebral, zerebral"
fsp-stuttgart-078,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Chemotherapie,Was bedeutet der medizinische Fachbegriff „Chemotherapie“ in Umgangssprache?,medikamentöse Therapie von Krebserkrankungen
fsp-stuttgart-079,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Cholestase,Was bedeutet der medizinische Fachbegriff „Cholestase“ in Umgangssprache?,Gallestauung
fsp-stuttgart-080,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Colitis,Was bedeutet der medizinische Fachbegriff „Colitis“ in Umgangssprache?,Dickdarmentzündung
fsp-stuttgart-081,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Colon irritabile,Was bedeutet der medizinische Fachbegriff „Colon irritabile“ in Umgangssprache?,Reizdarmsyndrom
fsp-stuttgart-082,FSP Stuttgart.docx,3,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Coxa,Was bedeutet der medizinische Fachbegriff „Coxa“ in Umgangssprache?,Hüfte
fsp-stuttgart-083,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Coxa valga,Was bedeutet der medizinische Fachbegriff „Coxa valga“ in Umgangssprache?,relativ steilen Stand des oberen Endes vom Oberschenkelknochen
fsp-stuttgart-084,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Dehydratation,Was bedeutet der medizinische Fachbegriff „Dehydratation“ in Umgangssprache?,Abnahme des Körperwassers
fsp-stuttgart-085,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Dekade,Was bedeutet der medizinische Fachbegriff „Dekade“ in Umgangssprache?,"zehn Stück; Zeitraum von zehn Tagen, Wochen, Monaten oder Jahren"
fsp-stuttgart-086,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Delirium tremens,Was bedeutet der medizinische Fachbegriff „Delirium tremens“ in Umgangssprache?,"Alkoholdelir, bei [Alkohol]vergiftungen auftretendes Delirium"
fsp-stuttgart-087,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,depressiv,Was bedeutet der medizinische Fachbegriff „depressiv“ in Umgangssprache?,niedergeschlagen
fsp-stuttgart-088,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Dermatitis,Was bedeutet der medizinische Fachbegriff „Dermatitis“ in Umgangssprache?,Entzündung der Haut
fsp-stuttgart-089,FSP Stuttgart.docx,4,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Dermis,Was bedeutet der medizinische Fachbegriff „Dermis“ in Umgangssprache?,Haut
